"","station_nm","agency_cd","site_no","dec_lat_va","dec_lon_va","hucCd","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","PATUXENT RIVER NEAR UNITY, MD","USGS-MD","USGS-01591000",39.23825,-77.0557222,"02060006","USGS-MD","USGS Maryland Water Science Center","USGS-01591000","PATUXENT RIVER NEAR UNITY, MD","Stream",NA,"02060006",34.8,"sq mi",NA,NA,39.23825,-77.0557222,NA,"1","seconds","Interpolated from map","NAD83","364.04","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"031",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","CATTAIL CREEK AT CARRS MILL, MD","USGS-MD","USGS-01591210",39.3142711,-77.0538685,"02060006","USGS-MD","USGS Maryland Water Science Center","USGS-01591210","CATTAIL CREEK AT CARRS MILL, MD","Stream",NA,"02060006",NA,NA,NA,NA,39.3142711,-77.0538685,24000,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"027",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","CATTAIL CREEK AT DAISY, MD","USGS-MD","USGS-01591380",39.2926048,-77.059424,"02060006","USGS-MD","USGS Maryland Water Science Center","USGS-01591380","CATTAIL CREEK AT DAISY, MD","Stream",NA,"02060006",NA,NA,NA,NA,39.2926048,-77.059424,24000,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"027",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","CATTAIL CREEK NEAR GLENWOOD, MD","USGS-MD","USGS-01591400",39.2559722,-77.0510556,"02060006","USGS-MD","USGS Maryland Water Science Center","USGS-01591400","CATTAIL CREEK NEAR GLENWOOD, MD","Stream",NA,"02060006",22.9,"sq mi",NA,NA,39.2559722,-77.0510556,24000,"1","seconds","Interpolated from map","NAD83","374.44","feet",".01","feet","Differential Global Positioning System (GPS)r","NAVD88","US",24,"027",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","PATUXENT RIVER TRIBUTARY NEAR DAYTON, MD","USGS-MD","USGS-01591510",39.2237171,-77.0066442,"02060006","USGS-MD","USGS Maryland Water Science Center","USGS-01591510","PATUXENT RIVER TRIBUTARY NEAR DAYTON, MD","Stream",NA,"02060006",NA,NA,NA,NA,39.2237171,-77.0066442,NA,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"027",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","HAWLINGS RIVER NEAR LAYTONSVILLE, MD","USGS-MD","USGS-01591660",39.213995,-77.0902574,"02060006","USGS-MD","USGS Maryland Water Science Center","USGS-01591660","HAWLINGS RIVER NEAR LAYTONSVILLE, MD","Stream",NA,"02060006",NA,NA,NA,NA,39.213995,-77.0902574,24000,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"031",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","HAWLINGS RIVER NEAR BROOKEVILLE, MD","USGS-MD","USGS-01591670",39.2092729,-77.0630345,"02060006","USGS-MD","USGS Maryland Water Science Center","USGS-01591670","HAWLINGS RIVER NEAR BROOKEVILLE, MD","Stream",NA,"02060006",NA,NA,NA,NA,39.2092729,-77.0630345,24000,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"031",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","HAWLINGS RIVER NEAR SANDY SPRING, MD","USGS-MD","USGS-01591700",39.1746667,-77.0215833,"02060006","USGS-MD","USGS Maryland Water Science Center","USGS-01591700","HAWLINGS RIVER NEAR SANDY SPRING, MD","Stream",NA,"02060006",27,"sq mi",NA,NA,39.1746667,-77.0215833,NA,"1","seconds","Interpolated from map","NAD83","302.85","feet",".01","feet","Differential Global Positioning System (GPS)r","NAVD88","US",24,"031",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","LAUREL RUN NEAR RED OAK, MD","USGS-MD","USGS-01594923",39.2373289,-79.4503288,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01594923","LAUREL RUN NEAR RED OAK, MD","Stream",NA,"02070002",NA,NA,NA,NA,39.2373289,-79.4503288,NA,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","CHESTNUT RIDGE RUN NEAR RED OAK, MD","USGS-MD","USGS-01594926",39.23844,-79.4503288,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01594926","CHESTNUT RIDGE RUN NEAR RED OAK, MD","Stream",NA,"02070002",NA,NA,NA,NA,39.23844,-79.4503288,NA,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","LAUREL RUN AT DOBBIN RD NEAR WILSON, MD","USGS-MD","USGS-01594930",39.2436111,-79.4283056,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01594930","LAUREL RUN AT DOBBIN RD NEAR WILSON, MD","Stream",NA,"02070002",8.23,"sq mi",NA,NA,39.2436111,-79.4283056,NA,"1","seconds","Interpolated from map","NAD83","2600","feet","10","feet","Interpolated from topographic map","NGVD29","US",24,"023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"12","SOUTH FORK SAND RUN NEAR WILSON, MD","USGS-MD","USGS-01594934",39.2581614,-79.4183824,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01594934","SOUTH FORK SAND RUN NEAR WILSON, MD","Stream",NA,"02070002",1.55,"sq mi",NA,NA,39.2581614,-79.4183824,NA,"1","seconds","Interpolated from map","NAD83","2540","feet","10","feet","Interpolated from topographic map","NGVD29","US",24,"023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"13","NORTH FORK SAND RUN NEAR WILSON, MD","USGS-MD","USGS-01594936",39.2603056,-79.4097778,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01594936","NORTH FORK SAND RUN NEAR WILSON, MD","Stream",NA,"02070002",1.91,"sq mi",NA,NA,39.2603056,-79.4097778,NA,"1","seconds","Interpolated from map","NAD83","2515","feet","5","feet","Interpolated from topographic map","NGVD29","US",24,"023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"14","NORTH BRANCH POTOMAC RIVER AT STEYER, MD","USGS-MD","USGS-01595000",39.3018889,-79.3068889,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01595000","NORTH BRANCH POTOMAC RIVER AT STEYER, MD","Stream",NA,"02070002",73.1,"sq mi",NA,NA,39.3018889,-79.3068889,24000,"1","seconds","Interpolated from map","NAD83","2275.58","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"15","NORTH BRANCH POTOMAC RIVER AT KITZMILLER, MD","USGS-MD","USGS-01595500",39.3938889,-79.1816944,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01595500","NORTH BRANCH POTOMAC RIVER AT KITZMILLER, MD","Stream",NA,"02070002",225,"sq mi",NA,NA,39.3938889,-79.1816944,NA,"1","seconds","Interpolated from map","NAD83","1571.75","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"16","NORTH BRANCH POTOMAC RIVER AT BARNUM, WV","USGS-MD","USGS-01595800",39.4451111,-79.1108056,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01595800","NORTH BRANCH POTOMAC RIVER AT BARNUM, WV","Stream",NA,"02070002",266,"sq mi",NA,NA,39.4451111,-79.1108056,24000,"1","seconds","Interpolated from map","NAD83","1151.28","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",54,"057",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"17","SAVAGE RIVER NEAR BARTON, MD","USGS-MD","USGS-01596500",39.5700556,-79.1019444,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01596500","SAVAGE RIVER NEAR BARTON, MD","Stream",NA,"02070002",49.1,"sq mi",NA,NA,39.5700556,-79.1019444,NA,"1","seconds","Interpolated from map","NAD83","1603.44","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"18","SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD","USGS-MD","USGS-01597500",39.50275,-79.1239722,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01597500","SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD","Stream",NA,"02070002",106,"sq mi",NA,NA,39.50275,-79.1239722,NA,"1","seconds","Interpolated from map","NAD83","1275.94","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"023",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"19","NORTH BRANCH POTOMAC RIVER AT LUKE, MD","USGS-MD","USGS-01598500",39.4789722,-79.0637778,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01598500","NORTH BRANCH POTOMAC RIVER AT LUKE, MD","Stream",NA,"02070002",406,"sq mi",NA,NA,39.4789722,-79.0637778,24000,"1","seconds","Interpolated from map","NAD83","943.68","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"20","GEORGES CREEK AT FRANKLIN, MD","USGS-MD","USGS-01599000",39.4939167,-79.0446944,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01599000","GEORGES CREEK AT FRANKLIN, MD","Stream",NA,"02070002",72.4,"sq mi",NA,NA,39.4939167,-79.0446944,NA,"1","seconds","Interpolated from map","NAD83","958.18","feet",".01","feet","Level or other surveying method","NAVD88","US",24,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"21","NORTH BRANCH POTOMAC RIVER AT PINTO, MD","USGS-MD","USGS-01600000",39.5668056,-78.8395556,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01600000","NORTH BRANCH POTOMAC RIVER AT PINTO, MD","Stream",NA,"02070002",607,"sq mi",NA,NA,39.5668056,-78.8395556,NA,"1","seconds","Interpolated from map","NAD83","648.23","feet",".01","feet","Level or other surveying method","NGVD29","US",54,"057",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"22","PINEY MOUNTAIN CREEK AT LAVALE, MD","USGS-MD","USGS-01601470",39.6573096,-78.8094644,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01601470","PINEY MOUNTAIN CREEK AT LAVALE, MD","Stream",NA,"02070002",3.6,"sq mi",NA,NA,39.6573096,-78.8094644,24000,"1","seconds","Interpolated from map","NAD83","760","feet","10","feet","Interpolated from topographic map","NGVD29","US",24,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"23","WILLS CREEK NEAR CUMBERLAND, MD","USGS-MD","USGS-01601500",39.6696111,-78.7880278,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01601500","WILLS CREEK NEAR CUMBERLAND, MD","Stream",NA,"02070002",247,"sq mi",NA,NA,39.6696111,-78.7880278,NA,"1","seconds","Interpolated from map","NAD83","640.27","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"24","NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD","USGS-MD","USGS-01603000",39.6218056,-78.7734167,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01603000","NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD","Stream",NA,"02070002",877,"sq mi",NA,NA,39.6218056,-78.7734167,24000,"1","seconds","Interpolated from map","NAD83","584.57","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"25","EVITTS CREEK NEAR CUMBERLAND MD","USGS-MD","USGS-01604000",39.6639765,-78.7305733,"02070002","USGS-MD","USGS Maryland Water Science Center","USGS-01604000","EVITTS CREEK NEAR CUMBERLAND MD","Stream",NA,"02070002",89,"sq mi",NA,NA,39.6639765,-78.7305733,NA,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"26","WEST STRAIT CREEK NEAR MONTEREY, VA","USGS-MD","USGS-01605220",38.4423425,-79.5386581,"02070001","USGS-MD","USGS Maryland Water Science Center","USGS-01605220","WEST STRAIT CREEK NEAR MONTEREY, VA","Stream",NA,"02070001",7.6,"sq mi",NA,NA,38.4423425,-79.5386581,24000,"1","seconds","Interpolated from map","NAD83","2580","feet","10","feet","Interpolated from topographic map","NGVD29","US",51,"091",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"27","TOWN CREEK NEAR OLDTOWN, MD","USGS-MD","USGS-01609000",39.5532222,-78.555,"02070003","USGS-MD","USGS Maryland Water Science Center","USGS-01609000","TOWN CREEK NEAR OLDTOWN, MD","Stream",NA,"02070003",148,"sq mi",NA,NA,39.5532222,-78.555,NA,"1","seconds","Interpolated from map","NAD83","547.30","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"28","POTOMAC RIVER AT PAW PAW, WV","USGS-MD","USGS-01610000",39.5389167,-78.4563889,"02070003","USGS-MD","USGS Maryland Water Science Center","USGS-01610000","POTOMAC RIVER AT PAW PAW, WV","Stream",NA,"02070003",3129,"sq mi",NA,NA,39.5389167,-78.4563889,24000,"1","seconds","Interpolated from map","NAD83","487.21","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"29","WHITE SULFUR RUN NEAR FLINTSTONE, MD","USGS-MD","USGS-01610063",39.6584233,-78.4644579,"02070003","USGS-MD","USGS Maryland Water Science Center","USGS-01610063","WHITE SULFUR RUN NEAR FLINTSTONE, MD","Stream",NA,"02070003",6.6,"sq mi",NA,NA,39.6584233,-78.4644579,24000,"1","seconds","Interpolated from map","NAD83","700","feet","10","feet","Interpolated from topographic map","NGVD29","US",24,"001",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"30","SIDELING HILL CREEK NEAR BELLEGROVE, MD","USGS-MD","USGS-01610155",39.6495278,-78.3441389,"02070003","USGS-MD","USGS Maryland Water Science Center","USGS-01610155","SIDELING HILL CREEK NEAR BELLEGROVE, MD","Stream",NA,"02070003",102,"sq mi",NA,NA,39.6495278,-78.3441389,24000,"1","seconds","Interpolated from map","NAD83","439.74","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"31","LITTLE TONOLOWAY CREEK NEAR HANCOCK, MD","USGS-MD","USGS-01612500",39.712591,-78.2316759,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01612500","LITTLE TONOLOWAY CREEK NEAR HANCOCK, MD","Stream",NA,"02070004",16.9,"sq mi",NA,NA,39.712591,-78.2316759,NA,"1","seconds","Interpolated from map","NAD83","457.51","feet",".01","feet","Level or other surveying method","NGVD29","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"32","POTOMAC RIVER AT HANCOCK, MD","USGS-MD","USGS-01613000",39.6975556,-78.1778889,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01613000","POTOMAC RIVER AT HANCOCK, MD","Stream",NA,"02070004",4064,"sq mi",NA,NA,39.6975556,-78.1778889,24000,"1","seconds","Interpolated from map","NAD83","383.00","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"33","CUMMINGS RUN NEAR NEEDMORE, PA","USGS-MD","USGS-01613060",39.8803659,-78.1447294,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01613060","CUMMINGS RUN NEAR NEEDMORE, PA","Stream",NA,"02070004",5,"sq mi",NA,NA,39.8803659,-78.1447294,24000,"1","seconds","Interpolated from map","NAD83","660","feet","10","feet","Interpolated from topographic map","NGVD29","US",42,"057",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"34","COVE RUN AT WARFORDSBURG, PA","USGS-MD","USGS-01613082",39.7625904,-78.185008,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01613082","COVE RUN AT WARFORDSBURG, PA","Stream",NA,"02070004",3.6,"sq mi",NA,NA,39.7625904,-78.185008,24000,"1","seconds","Interpolated from map","NAD83","510","feet","10","feet","Interpolated from topographic map","NGVD29","US",42,"057",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"35","L COVE C NR SYLVAN, PA","USGS-MD","USGS-01613510",39.7400932,-78.0302795,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01613510","L COVE C NR SYLVAN, PA","Stream",NA,"02070004",22.9,"sq mi",NA,NA,39.7400932,-78.0302795,24000,"1","seconds","Interpolated from map","NAD83","470","feet","10","feet","Interpolated from topographic map","NGVD29","US",42,"057",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"36","CONOCOCHEAGUE CREEK AT FAIRVIEW, MD","USGS-MD","USGS-01614500",39.7163889,-77.8247778,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01614500","CONOCOCHEAGUE CREEK AT FAIRVIEW, MD","Stream",NA,"02070004",494,"sq mi",NA,NA,39.7163889,-77.8247778,NA,"1","seconds","Interpolated from map","NAD83","391.19","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"37","ROCKDALE RUN AT FAIRVIEW, MD","USGS-MD","USGS-01614525",39.7020391,-77.8455519,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01614525","ROCKDALE RUN AT FAIRVIEW, MD","Stream",NA,"02070004",9.67,"sq mi",NA,NA,39.7020391,-77.8455519,NA,"1","seconds","Interpolated from map","NAD83","450","feet","10","feet","Interpolated from topographic map","NGVD29","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"38","TOWN RUN AT WINCHESTER, VA","USGS-MD","USGS-01615520",39.1701044,-78.1608339,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01615520","TOWN RUN AT WINCHESTER, VA","Stream",NA,"02070004",3.58,"sq mi",NA,NA,39.1701044,-78.1608339,24000,"1","seconds","Interpolated from map","NAD83","660","feet","10","feet","Interpolated from topographic map","NGVD29","US",51,"840",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"39","MARSH RUN AT GRIMES, MD","USGS-MD","USGS-01617800",39.5145556,-77.7772222,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01617800","MARSH RUN AT GRIMES, MD","Stream",NA,"02070004",18.9,"sq mi",NA,NA,39.5145556,-77.7772222,NA,"1","seconds","Interpolated from map","NAD83","354.07","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"40","POTOMAC RIVER AT SHEPHERDSTOWN, WV","USGS-MD","USGS-01618000",39.4347222,-77.8013889,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01618000","POTOMAC RIVER AT SHEPHERDSTOWN, WV","Stream",NA,"02070004",5939,"sq mi",NA,NA,39.4347222,-77.8013889,24000,"1","seconds","Interpolated from map","NAD83","281","feet","10","feet","Interpolated from topographic map","NGVD29","US",54,"037",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"41","ANTIETAM CREEK NEAR WAYNESBORO, PA","USGS-MD","USGS-01619000",39.71625,-77.6066389,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01619000","ANTIETAM CREEK NEAR WAYNESBORO, PA","Stream",NA,"02070004",93.5,"sq mi",NA,NA,39.71625,-77.6066389,NA,".1","seconds","Global positioning system (GPS), uncorrected","NAD83","536.15","feet",".01","feet","Global Positioning System","NAVD88","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"42","MARSH RUN AT REID, MD","USGS-MD","USGS-01619140",39.7103725,-77.6738816,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01619140","MARSH RUN AT REID, MD","Stream",NA,"02070004",16.8,"sq mi",NA,NA,39.7103725,-77.6738816,24000,"1","seconds","Interpolated from map","NAD83","580","feet","10","feet","Interpolated from topographic map","NGVD29","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"43","HAMILTON CREEK AT HAGERSTOWN, MD","USGS-MD","USGS-01619200",39.6420407,-77.7041595,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01619200","HAMILTON CREEK AT HAGERSTOWN, MD","Stream",NA,"02070004",5.21,"sq mi",NA,NA,39.6420407,-77.7041595,24000,"1","seconds","Interpolated from map","NAD83","500","feet","10","feet","Interpolated from topographic map","NGVD29","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"44","ANTIETAM CREEK AT HAGERSTOWN, MD","USGS-MD","USGS-01619250",39.6312076,-77.6991593,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01619250","ANTIETAM CREEK AT HAGERSTOWN, MD","Stream",NA,"02070004",NA,NA,NA,NA,39.6312076,-77.6991593,NA,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"45","ANTIETAM CREEK BELOW HAGERSTOWN, MD","USGS-MD","USGS-01619270",39.5950973,-77.7086038,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01619270","ANTIETAM CREEK BELOW HAGERSTOWN, MD","Stream",NA,"02070004",22.9,"sq mi",NA,NA,39.5950973,-77.7086038,NA,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"46","ANTIETAM CREEK NEAR SHARPSBURG, MD","USGS-MD","USGS-01619500",39.4497778,-77.7301944,"02070004","USGS-MD","USGS Maryland Water Science Center","USGS-01619500","ANTIETAM CREEK NEAR SHARPSBURG, MD","Stream",NA,"02070004",281,"sq mi",NA,NA,39.4497778,-77.7301944,NA,"1","seconds","Interpolated from map","NAD83","310.40","feet",".1","feet","Interpolated from digital elevation model (DEM)","NAVD88","US",24,"043",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"47","MOSSY CREEK NEAR SPRING CREEK, VA","USGS-MD","USGS-01620850",38.3867926,-79.014197,"02070005","USGS-MD","USGS Maryland Water Science Center","USGS-01620850","MOSSY CREEK NEAR SPRING CREEK, VA","Stream",NA,"02070005",15.3,"sq mi",NA,NA,38.3867926,-79.014197,24000,"1","seconds","Interpolated from map","NAD83","1220","feet","10","feet","Interpolated from topographic map","NGVD29","US",51,"165",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"48","TRIBUTARY ON RT 773 NORTH OF SPARKLING SPRINGS, VA","USGS-MD","USGS-01621010",38.5531767,-78.9436401,"02070005","USGS-MD","USGS Maryland Water Science Center","USGS-01621010","TRIBUTARY ON RT 773 NORTH OF SPARKLING SPRINGS, VA","Stream",NA,"02070005",NA,NA,NA,NA,38.5531767,-78.9436401,24000,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"165",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"49","SPRING AT RT 777 NEAR SINGERS GLEN, VA","USGS-MD","USGS-01621012",38.5426215,-78.9250284,"02070005","USGS-MD","USGS Maryland Water Science Center","USGS-01621012","SPRING AT RT 777 NEAR SINGERS GLEN, VA","Stream",NA,"02070005",NA,NA,NA,NA,38.5426215,-78.9250284,24000,"1","seconds","Interpolated from map","NAD83",NA,NA,NA,NA,NA,NA,"US",51,"165",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"50","SW-04  MUDDY CREEK FLOWPATH STUDY, VA.","USGS-MD","USGS-0162101710",38.5370662,-78.9600296,"02070005","USGS-MD","USGS Maryland Water Science Center","USGS-0162101710","SW-04  MUDDY CREEK FLOWPATH STUDY, VA.","Stream",NA,"02070005",0.28,"sq mi",NA,NA,38.5370662,-78.9600296,24000,"5","seconds","Interpolated from map","NAD83","1515","feet","10","feet","Interpolated from topographic map","NGVD29","US",51,"165",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"51","SW-05 (CONFLUENCE) MUDDY CREEK FLOWPATH STUDY, VA.","USGS-MD","USGS-0162101730",38.5365106,-78.955585,"02070005","USGS-MD","USGS Maryland Water Science Center","USGS-0162101730","SW-05 (CONFLUENCE) MUDDY CREEK FLOWPATH STUDY, VA.","Stream",NA,"02070005",0.37,"sq mi",NA,NA,38.5365106,-78.955585,24000,"1","seconds","Interpolated from map","NAD83","1660","feet","10","feet","Interpolated from topographic map","NGVD29","US",51,"165",NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
